origin_city,dest_city,total_trips,unique_drivers,total_cost,avg_cost,min_cost,max_cost
Тольятти,Челябинск,6,5,113000.0,18833.333333333332,8000.0,25000.0
Тюмень,Благовещенск,1,1,55000.0,55000.0,55000.0,55000.0
Тюмень,Ижевск,2,2,35000.0,17500.0,16000.0,19000.0
Тюмень,Казань,1,1,20000.0,20000.0,20000.0,20000.0
Тюмень,Красноярск,2,2,60000.0,30000.0,30000.0,30000.0
Тюмень,Москва,8,6,244400.0,30550.0,15000.0,43400.0
Тюмень,Нефтеюганск,1,1,22000.0,22000.0,22000.0,22000.0
Тюмень,Нижневартовск,4,3,125000.0,31250.0,30000.0,32000.0
Тюмень,Нижний Новгород,1,1,45000.0,45000.0,45000.0,45000.0
Тюмень,Омск,2,2,22000.0,11000.0,10000.0,12000.0
Тюмень,Пенза,1,1,29250.0,29250.0,29250.0,29250.0
Тюмень,Пермь,1,1,10000.0,10000.0,10000.0,10000.0
Тюмень,Ростов-на-Дону,1,1,41000.0,41000.0,41000.0,41000.0
Тюмень,Сургут,4,2,83000.0,20750.0,17000.0,24000.0
Тюмень,Тольятти,5,4,64000.0,12800.0,6000.0,15000.0
Тюмень,Уфа,3,3,42700.0,14233.333333333334,12000.0,18700.0
Тюмень,Челябинск,1,1,11250.0,11250.0,11250.0,11250.0
Улан-Удэ,Москва,2,2,210000.0,105000.0,100000.0,110000.0
Улан-Удэ,Санкт-Петербург,1,1,95000.0,95000.0,95000.0,95000.0
Улан-Удэ,Тюмень,1,1,65000.0,65000.0,65000.0,65000.0
Ульяновск,Тольятти,1,1,12000.0,12000.0,12000.0,12000.0
Уссурийск,Набережные Челны,1,1,165000.0,165000.0,165000.0,165000.0
Уфа,Екатеринбург,1,1,13000.0,13000.0,13000.0,13000.0
Уфа,Красноярск,1,1,35000.0,35000.0,35000.0,35000.0
Уфа,Москва,5,4,134900.0,26980.0,18000.0,30000.0
Уфа,Омск,1,1,35000.0,35000.0,35000.0,35000.0
Уфа,Санкт-Петербург,1,1,50800.0,50800.0,50800.0,50800.0
Уфа,Тольятти,1,1,10000.0,10000.0,10000.0,10000.0
Уфа,Тюмень,3,3,52000.0,17333.333333333332,15000.0,22000.0
Уфа,Уфа,3,2,21000.0,7000.0,4000.0,12000.0
Хабаровск,Казань,1,1,190300.0,190300.0,190300.0,190300.0
Хабаровск,Краснодар,1,1,170000.0,170000.0,170000.0,170000.0
Хабаровск,Москва,1,1,161428.0,161428.0,161428.0,161428.0
Хабаровск,Ставрополь,1,1,184600.0,184600.0,184600.0,184600.0
Ханты-Мансийск,Армавир,1,1,65000.0,65000.0,65000.0,65000.0
Челябинск,Иркутск,1,1,31300.0,31300.0,31300.0,31300.0
Челябинск,Краснодар,2,2,91750.0,45875.0,45000.0,46750.0
Челябинск,Красноярск,2,2,71600.0,35800.0,31600.0,40000.0
Челябинск,Магнитогорск,1,1,15000.0,15000.0,15000.0,15000.0
Челябинск,Москва,15,13,518050.0,34536.666666666664,29600.0,41000.0
Челябинск,Невинномысск,1,1,50000.0,50000.0,50000.0,50000.0
Челябинск,Омск,1,1,16600.0,16600.0,16600.0,16600.0
Челябинск,Ростов-на-Дону,1,1,42000.0,42000.0,42000.0,42000.0
Челябинск,Тольятти,4,3,46000.0,11500.0,10000.0,12000.0
Челябинск,Уфа,4,1,50000.0,12500.0,12500.0,12500.0
Челябинск,Челябинск,3,3,21830.0,7276.666666666667,7000.0,7830.0
Чита,Ростов-на-Дону,1,1,111100.0,111100.0,111100.0,111100.0
Чита,Саратов,1,1,97600.0,97600.0,97600.0,97600.0
Элиста,Уфа,1,1,30000.0,30000.0,30000.0,30000.0
Энгельс,Владивосток,1,1,303000.0,303000.0,303000.0,303000.0
Ярославль,Омск,1,1,55000.0,55000.0,55000.0,55000.0
